antecedent,consequent,antecedent_n,consequent_n,both_n,support_pct,confidence,lift
Python + Tableau,Reporting,65,299,46,6.47,0.708,1.683
Machine Learning + Statistics,Python,62,334,49,6.89,0.79,1.682
AWS + Data Quality,Python,38,334,30,4.22,0.789,1.681
Git + Python,Machine Learning,62,232,34,4.78,0.548,1.681
ELT + Reporting,SQL,39,369,34,4.78,0.872,1.68
Data Engineering + SQL,Python,71,334,56,7.88,0.789,1.679
PostgreSQL + Reporting,SQL,31,369,27,3.8,0.871,1.678
Data Quality + Spark,Python,33,334,26,3.66,0.788,1.677
AWS + Docker,Python,33,334,26,3.66,0.788,1.677
ELT + SQL,Python,61,334,48,6.75,0.787,1.675
Data Lake + ELT,SQL,38,369,33,4.64,0.868,1.673
NoSQL + Python,SQL,38,369,33,4.64,0.868,1.673
AWS + Python,Machine Learning,88,232,48,6.75,0.545,1.672
Python + SQL Server,Reporting,37,299,26,3.66,0.703,1.671
ETL + Oracle,Reporting,37,299,26,3.66,0.703,1.671
Power BI + Statistics,SQL,75,369,65,9.14,0.867,1.67
Data Analysis + Looker,SQL,30,369,26,3.66,0.867,1.67
Azure,AI,97,158,36,5.06,0.371,1.67
NoSQL,SQL,52,369,45,6.33,0.865,1.667
Data Governance + Data Warehouse,SQL,37,369,32,4.5,0.865,1.666
Data Analysis + ETL,SQL,59,369,51,7.17,0.864,1.666
Power BI + Reporting,Data Analysis,140,320,105,14.77,0.75,1.666
Airflow + Python,SQL,44,369,38,5.34,0.864,1.664
Machine Learning + Tableau,Python,32,334,25,3.52,0.781,1.663
Oracle + Reporting,SQL,51,369,44,6.19,0.863,1.662
GCP,Machine Learning,83,232,45,6.33,0.542,1.662
Data Visualization + Machine Learning,SQL,29,369,25,3.52,0.862,1.661
AWS + ELT,SQL,29,369,25,3.52,0.862,1.661
SQL Server,Power BI,63,197,29,4.08,0.46,1.661
Power BI + Tableau,SQL,101,369,87,12.24,0.861,1.66
Oracle + SQL Server,SQL,36,369,31,4.36,0.861,1.659
Big Data + Data Pipeline,SQL,36,369,31,4.36,0.861,1.659
Excel + Power BI,Data Analysis,67,320,50,7.03,0.746,1.658
Big Data + Oracle,Python,36,334,28,3.94,0.778,1.656
Python + Statistics,SQL,85,369,73,10.27,0.859,1.655
Data Quality + ETL,SQL,56,369,48,6.75,0.857,1.652
Data Warehouse + Tableau,Data Analysis,35,320,26,3.66,0.743,1.651
Data Governance + Python,Reporting,36,299,25,3.52,0.694,1.651
Java,Machine Learning,52,232,28,3.94,0.538,1.65
Python + Reporting,SQL,125,369,107,15.05,0.856,1.649
AWS + Machine Learning,Python,62,334,48,6.75,0.774,1.648
Data Visualization + Power BI,SQL,62,369,53,7.45,0.855,1.647
Excel + Reporting,Data Analysis,81,320,60,8.44,0.741,1.646
Data Modeling + Data Quality,SQL,41,369,35,4.92,0.854,1.645
Big Data + Machine Learning,Python,66,334,51,7.17,0.773,1.645
Data Analysis + Data Quality,Reporting,55,299,38,5.34,0.691,1.643
Azure + ETL,Python,35,334,27,3.8,0.771,1.642
Excel + SQL,Data Analysis,69,320,51,7.17,0.739,1.642
Data Warehouse + SQL,Power BI,121,197,55,7.74,0.455,1.641
English + Python,Machine Learning,142,232,76,10.69,0.535,1.64
English + Power BI,Data Analysis,61,320,45,6.33,0.738,1.639
Power BI + Reporting,SQL,140,369,119,16.74,0.85,1.638
Data Warehouse + Oracle,Reporting,45,299,31,4.36,0.689,1.638
Business Intelligence + Power BI,Data Analysis,38,320,28,3.94,0.737,1.637
Data Warehouse + Python,Power BI,86,197,39,5.49,0.453,1.637
Data Warehouse + ETL,SQL,86,369,73,10.27,0.849,1.636
Data Warehouse + Reporting,SQL,86,369,73,10.27,0.849,1.636
Looker + Reporting,SQL,33,369,28,3.94,0.848,1.635
Airflow + Spark,SQL,33,369,28,3.94,0.848,1.635
Data Modeling + ELT,SQL,33,369,28,3.94,0.848,1.635
English + Tableau,SQL,33,369,28,3.94,0.848,1.635
Data Modeling + ETL,Reporting,48,299,33,4.64,0.688,1.635
Data Visualization + Statistics,Python,47,334,36,5.06,0.766,1.631
Big Data + Data Quality,Python,47,334,36,5.06,0.766,1.631
Data Pipeline + English,Machine Learning,47,232,25,3.52,0.532,1.63
Big Data + ETL,SQL,58,369,49,6.89,0.845,1.628
Tableau,SQL,109,369,92,12.94,0.844,1.626
Data Analysis + SQL Server,SQL,32,369,27,3.8,0.844,1.626
Excel + Tableau,SQL,32,369,27,3.8,0.844,1.626
dbt,Python,38,334,29,4.08,0.763,1.625
CI/CD + Docker,Python,38,334,29,4.08,0.763,1.625
ETL + SQL Server,Reporting,41,299,28,3.94,0.683,1.624
AWS,AI,122,158,44,6.19,0.361,1.623
Data Warehouse + Machine Learning,SQL,44,369,37,5.2,0.841,1.62
AWS + ETL,Python,46,334,35,4.92,0.761,1.62
ETL + Reporting,SQL,75,369,63,8.86,0.84,1.619
Airflow + SQL,Python,50,334,38,5.34,0.76,1.618
Data Pipeline + Spark,SQL,31,369,26,3.66,0.839,1.616
Oracle + SQL,Power BI,67,197,30,4.22,0.448,1.616
Data Quality + Power BI,SQL,43,369,36,5.06,0.837,1.613
Data Engineering + Data Quality,SQL,43,369,36,5.06,0.837,1.613
Data Modeling + Data Warehouse,SQL,55,369,46,6.47,0.836,1.612
Data Analysis + ETL,Reporting,59,299,40,5.63,0.678,1.612
Big Data + Data Analysis,SQL,61,369,51,7.17,0.836,1.611
Python + Spark,SQL,61,369,51,7.17,0.836,1.611
Big Data + Statistics,Python,37,334,28,3.94,0.757,1.611
Business Intelligence + SQL,Data Analysis,40,320,29,4.08,0.725,1.611
Big Data + Reporting,SQL,67,369,56,7.88,0.836,1.61
Reporting + Statistics,SQL,79,369,66,9.28,0.835,1.61
ETL + SQL Server,Python,41,334,31,4.36,0.756,1.61
Data Quality + Machine Learning,Python,41,334,31,4.36,0.756,1.61
AWS + Data Engineering,Python,41,334,31,4.36,0.756,1.61
AWS + Data Warehouse,Python,41,334,31,4.36,0.756,1.61
Data Modeling,SQL,85,369,71,9.99,0.835,1.609
Power BI + SQL,Data Analysis,156,320,113,15.89,0.724,1.609
Data Modeling + SQL,Reporting,71,299,48,6.75,0.676,1.608
Big Data + Statistics,Reporting,37,299,25,3.52,0.676,1.607
Big Data + Data Warehouse,SQL,66,369,55,7.74,0.833,1.606
Airflow,SQL,60,369,50,7.03,0.833,1.606
ETL + Kafka,SQL,30,369,25,3.52,0.833,1.606
Data Engineering + ELT,SQL,30,369,25,3.52,0.833,1.606
Big Data + Data Governance,SQL,30,369,25,3.52,0.833,1.606
Data Governance + ETL,SQL,30,369,25,3.52,0.833,1.606
Oracle + Python,Reporting,40,299,27,3.8,0.675,1.605
Data Analysis + Excel,Reporting,89,299,60,8.44,0.674,1.603
Reporting + Tableau,SQL,83,369,69,9.7,0.831,1.602
AWS + Data Warehouse,SQL,41,369,34,4.78,0.829,1.598
AWS + Azure,Python,72,334,54,7.59,0.75,1.597
Azure + SQL,Python,56,334,42,5.91,0.75,1.597
Statistics + Tableau,Python,52,334,39,5.49,0.75,1.597
Data Warehouse + Machine Learning,Python,44,334,33,4.64,0.75,1.597
GCP + SQL,Machine Learning,48,232,25,3.52,0.521,1.596
ETL,SQL,133,369,110,15.47,0.827,1.594
ETL + English,SQL,52,369,43,6.05,0.827,1.593
SQL Server,SQL,63,369,52,7.31,0.825,1.59
ETL + Machine Learning,SQL,40,369,33,4.64,0.825,1.59
Data Engineering + Python,SQL,68,369,56,7.88,0.824,1.587
Kafka + Python,SQL,34,369,28,3.94,0.824,1.587
Data Warehouse,SQL,147,369,121,17.02,0.823,1.586
Data Pipeline + Python,SQL,79,369,65,9.14,0.823,1.585
SQL Server,Reporting,63,299,42,5.91,0.667,1.585
Data Warehouse + ELT,Reporting,57,299,38,5.34,0.667,1.585
Data Engineering + Data Quality,Python,43,334,32,4.5,0.744,1.584
Big Data + Python,SQL,84,369,69,9.7,0.821,1.583
ELT + Reporting,Python,39,334,29,4.08,0.744,1.583
Looker,SQL,39,369,32,4.5,0.821,1.581
Airflow + ETL,SQL,39,369,32,4.5,0.821,1.581
Data Engineering + Spark,Python,35,334,26,3.66,0.743,1.581
AI + AWS,English,44,276,27,3.8,0.614,1.581
Power BI,Data Analysis,197,320,140,19.69,0.711,1.579
Data Analysis,Power BI,320,197,140,19.69,0.438,1.579
AI + English,Python,77,334,57,8.02,0.74,1.576
ETL + Power BI,Python,50,334,37,5.2,0.74,1.575
Python + SQL,Power BI,220,197,96,13.5,0.436,1.575
Data Lake + Data Warehouse,SQL,60,369,49,6.89,0.817,1.574
Big Data + English,Python,46,334,34,4.78,0.739,1.573
CI/CD + SQL,Python,46,334,34,4.78,0.739,1.573
Data Lake + Reporting,SQL,38,369,31,4.36,0.816,1.572
Data Pipeline + Machine Learning,SQL,38,369,31,4.36,0.816,1.572
Machine Learning + Statistics,Power BI,62,197,27,3.8,0.435,1.572
CI/CD + English,Python,42,334,31,4.36,0.738,1.571
SQL + Statistics,Reporting,100,299,66,9.28,0.66,1.569
CI/CD + SQL,English,46,276,28,3.94,0.609,1.568
Data Lake + ETL,SQL,48,369,39,5.49,0.812,1.566
Data Warehouse + English,SQL,48,369,39,5.49,0.812,1.566
Machine Learning + Tableau,SQL,32,369,26,3.66,0.812,1.566
Spark,Python,83,334,61,8.58,0.735,1.564
Big Data + Statistics,SQL,37,369,30,4.22,0.811,1.562
Oracle + SQL,Reporting,67,299,44,6.19,0.657,1.562
Airflow,Python,60,334,44,6.19,0.733,1.561
NoSQL + SQL,Python,45,334,33,4.64,0.733,1.561
Machine Learning + Reporting,Power BI,74,197,32,4.5,0.432,1.561
Data Visualization + Reporting,SQL,63,369,51,7.17,0.81,1.56
English + Power BI,Reporting,61,299,40,5.63,0.656,1.559
Data Pipeline + English,SQL,47,369,38,5.34,0.809,1.558
ELT,Python,67,334,49,6.89,0.731,1.557
AWS,Machine Learning,122,232,62,8.72,0.508,1.557
Data Engineering + ETL,SQL,52,369,42,5.91,0.808,1.556
NoSQL,Python,52,334,38,5.34,0.731,1.556
ETL + English,Python,52,334,38,5.34,0.731,1.556
Big Data,Machine Learning,130,232,66,9.28,0.508,1.556
Data Analysis + Power BI,SQL,140,369,113,15.89,0.807,1.555
Data Warehouse + Power BI,Data Analysis,60,320,42,5.91,0.7,1.555
ETL + Power BI,Data Analysis,50,320,35,4.92,0.7,1.555
AI + SQL,English,58,276,35,4.92,0.603,1.555
Big Data + Kafka,SQL,31,369,25,3.52,0.806,1.554
Oracle + PostgreSQL,SQL,31,369,25,3.52,0.806,1.554
SQL + Statistics,Python,100,334,73,10.27,0.73,1.554
Data Governance + SQL,Reporting,49,299,32,4.5,0.653,1.553
ETL + Python,Power BI,86,197,37,5.2,0.43,1.553
Git,Machine Learning,77,232,39,5.49,0.506,1.552
Azure + Reporting,SQL,41,369,33,4.64,0.805,1.551
Data Quality + Machine Learning,SQL,41,369,33,4.64,0.805,1.551
Data Warehouse + Spark,SQL,41,369,33,4.64,0.805,1.551
AWS + ETL,SQL,46,369,37,5.2,0.804,1.55
Data Quality + Power BI,Data Analysis,43,320,30,4.22,0.698,1.55
Data Visualization + SQL,Python,66,334,48,6.75,0.727,1.548
ELT + ETL,Python,66,334,48,6.75,0.727,1.548
Azure,Machine Learning,97,232,49,6.89,0.505,1.548
Big Data + SQL,Machine Learning,95,232,48,6.75,0.505,1.548
Big Data + SQL,Python,95,334,69,9.7,0.726,1.546
Data Analysis + Machine Learning,Python,84,334,61,8.58,0.726,1.546
Excel,Data Analysis,128,320,89,12.52,0.695,1.545
Business Intelligence,Data Analysis,59,320,41,5.77,0.695,1.544
ETL + Machine Learning,Python,40,334,29,4.08,0.725,1.543
Big Data + Power BI,Python,40,334,29,4.08,0.725,1.543
Machine Learning,Python,232,334,168,23.63,0.724,1.542
English + Excel,Data Analysis,49,320,34,4.78,0.694,1.542
Python,Machine Learning,334,232,168,23.63,0.503,1.542
ETL + SQL,Power BI,110,197,47,6.61,0.427,1.542
Data Lake,SQL,70,369,56,7.88,0.8,1.541
English + Reporting,Power BI,94,197,40,5.63,0.426,1.536
AWS,Python,122,334,88,12.38,0.721,1.535
Data Pipeline,SQL,93,369,74,10.41,0.796,1.533
Power BI + Statistics,Python,75,334,54,7.59,0.72,1.533
NoSQL,Machine Learning,52,232,26,3.66,0.5,1.532
Big Data + Spark,Machine Learning,50,232,25,3.52,0.5,1.532
Data Warehouse + ELT,Python,57,334,41,5.77,0.719,1.531
ETL + SQL,Python,110,334,79,11.11,0.718,1.529
Airflow + ETL,Python,39,334,28,3.94,0.718,1.528
Power BI,SQL,197,369,156,21.94,0.792,1.526
SQL,Power BI,369,197,156,21.94,0.423,1.526
CI/CD,English,71,276,42,5.91,0.592,1.524
Data Modeling + Python,Reporting,50,299,32,4.5,0.64,1.522
Business Intelligence + Power BI,SQL,38,369,30,4.22,0.789,1.521
Kafka + Spark,SQL,38,369,30,4.22,0.789,1.521
Data Quality + ETL,Python,56,334,40,5.63,0.714,1.521
AWS + English,Python,56,334,40,5.63,0.714,1.521
Kafka,SQL,52,369,41,5.77,0.788,1.519
Data Quality + Data Warehouse,Reporting,58,299,37,5.2,0.638,1.517
English + Power BI,SQL,61,369,48,6.75,0.787,1.516
Data Engineering + ETL,Python,52,334,37,5.2,0.712,1.515
Kafka + Spark,Python,38,334,27,3.8,0.711,1.513
Data Visualization + Power BI,Python,62,334,44,6.19,0.71,1.511
Python + Statistics,Reporting,85,299,54,7.59,0.635,1.511
AI,Python,158,334,112,15.75,0.709,1.509
Kubernetes,Python,55,334,39,5.49,0.709,1.509
Big Data + Reporting,Machine Learning,67,232,33,4.64,0.493,1.509
Big Data + English,SQL,46,369,36,5.06,0.783,1.508
Data Quality + Machine Learning,Reporting,41,299,26,3.66,0.634,1.508
Data Analysis + Data Warehouse,Reporting,71,299,45,6.33,0.634,1.507
Data Analysis + Data Quality,SQL,55,369,43,6.05,0.782,1.506
Data Warehouse + Spark,Python,41,334,29,4.08,0.707,1.506
AWS + CI/CD,Python,41,334,29,4.08,0.707,1.506
Databricks,SQL,32,369,25,3.52,0.781,1.505
AWS + Airflow,SQL,32,369,25,3.52,0.781,1.505
ETL + GCP,SQL,32,369,25,3.52,0.781,1.505
MySQL + PostgreSQL,SQL,32,369,25,3.52,0.781,1.505
Excel,Reporting,128,299,81,11.39,0.633,1.505
Data Governance + Reporting,SQL,41,369,32,4.5,0.78,1.504
Data Analysis + SQL,Reporting,185,299,117,16.46,0.632,1.504
Kubernetes,Machine Learning,55,232,27,3.8,0.491,1.504
Data Analysis + English,Power BI,108,197,45,6.33,0.417,1.504
Data Visualization + Python,Machine Learning,53,232,26,3.66,0.491,1.503
Oracle,SQL,86,369,67,9.42,0.779,1.501
Data Engineering + Reporting,SQL,45,369,35,4.92,0.778,1.499
Hadoop + Spark,Python,37,334,26,3.66,0.703,1.496
Data Engineering + Data Warehouse,SQL,49,369,38,5.34,0.776,1.494
Big Data + Spark,Python,50,334,35,4.92,0.7,1.49
Hadoop,Python,40,334,28,3.94,0.7,1.49
NoSQL + SQL,English,45,276,26,3.66,0.578,1.488
Azure + ETL,SQL,35,369,27,3.8,0.771,1.486
Machine Learning + Spark,SQL,35,369,27,3.8,0.771,1.486
Data Warehouse + English,Reporting,48,299,30,4.22,0.625,1.486
ETL + Machine Learning,Reporting,40,299,25,3.52,0.625,1.486
Java,English,52,276,30,4.22,0.577,1.486
Data Modeling,Reporting,85,299,53,7.45,0.624,1.483
Big Data + Data Analysis,Reporting,61,299,38,5.34,0.623,1.481
Data Visualization,SQL,86,369,66,9.28,0.767,1.479
Azure + SQL,Machine Learning,56,232,27,3.8,0.482,1.478
Data Analysis + Statistics,SQL,107,369,82,11.53,0.766,1.477
Data Warehouse,Power BI,147,197,60,8.44,0.408,1.473
AWS + Data Quality,SQL,38,369,29,4.08,0.763,1.47
ETL + Spark,Python,42,334,29,4.08,0.69,1.47
Data Governance + Data Quality,SQL,42,369,32,4.5,0.762,1.468
ETL + Spark,SQL,42,369,32,4.5,0.762,1.468
Data Quality + Data Warehouse,Python,58,334,40,5.63,0.69,1.468
Big Data + Data Quality,Reporting,47,299,29,4.08,0.617,1.467
Data Quality + SQL,Python,90,334,62,8.72,0.689,1.466
Big Data + Data Analysis,Python,61,334,42,5.91,0.689,1.466
Data Quality + Reporting,SQL,71,369,54,7.59,0.761,1.465
Data Warehouse + ETL,Reporting,86,299,53,7.45,0.616,1.465
Data Warehouse + Python,Reporting,86,299,53,7.45,0.616,1.465
Data Modeling + ETL,Python,48,334,33,4.64,0.688,1.464
Data Warehouse + English,Python,48,334,33,4.64,0.688,1.464
Spark,SQL,83,369,63,8.86,0.759,1.463
Machine Learning + Statistics,SQL,62,369,47,6.61,0.758,1.461
Big Data + Hadoop,SQL,33,369,25,3.52,0.758,1.46
Data Lake + Spark,SQL,33,369,25,3.52,0.758,1.46
Hadoop + Spark,SQL,37,369,28,3.94,0.757,1.458
PostgreSQL + Python,SQL,45,369,34,4.78,0.756,1.456
Reporting + Statistics,Python,79,334,54,7.59,0.684,1.455
Kafka + SQL,Python,41,334,28,3.94,0.683,1.454
Data Pipeline + ETL,English,48,276,27,3.8,0.562,1.449
PostgreSQL + SQL,Python,50,334,34,4.78,0.68,1.448
AWS + Spark,SQL,44,369,33,4.64,0.75,1.445
Hadoop,SQL,40,369,30,4.22,0.75,1.445
Reporting + Spark,SQL,36,369,27,3.8,0.75,1.445
English + Statistics,SQL,36,369,27,3.8,0.75,1.445
Data Analysis + Tableau,Python,84,334,57,8.02,0.679,1.445
Data Quality + ETL,Reporting,56,299,34,4.78,0.607,1.444
Data Quality + SQL,Power BI,90,197,36,5.06,0.4,1.444
English + SQL,Python,139,334,94,13.22,0.676,1.44
SQL + Statistics,Machine Learning,100,232,47,6.61,0.47,1.44
Statistics,SQL,134,369,100,14.06,0.746,1.438
Data Analysis + Data Visualization,SQL,71,369,53,7.45,0.746,1.438
Machine Learning + Reporting,Python,74,334,50,7.03,0.676,1.438
ETL + Oracle,Python,37,334,25,3.52,0.676,1.438
NoSQL,English,52,276,29,4.08,0.558,1.437
Data Warehouse + SQL,Reporting,121,299,73,10.27,0.603,1.435
Data Engineering,Python,101,334,68,9.56,0.673,1.433
SQL + SQL Server,Python,52,334,35,4.92,0.673,1.433
Data Quality + SQL,Reporting,90,299,54,7.59,0.6,1.427
Data Analysis + Python,Machine Learning,131,232,61,8.58,0.466,1.427
Big Data + Spark,SQL,50,369,37,5.2,0.74,1.426
Data Analysis + Statistics,Reporting,107,299,64,9.0,0.598,1.422
Big Data + Data Lake,SQL,38,369,28,3.94,0.737,1.42
Statistics,Machine Learning,134,232,62,8.72,0.463,1.418
Data Quality + English,SQL,45,369,33,4.64,0.733,1.413
AWS + Reporting,SQL,45,369,33,4.64,0.733,1.413
AWS + Machine Learning,English,62,276,34,4.78,0.548,1.413
SQL + Tableau,Python,92,334,61,8.58,0.663,1.411
Data Warehouse + ETL,Python,86,334,57,8.02,0.663,1.411
Data Quality,SQL,123,369,90,12.66,0.732,1.41
Oracle,Reporting,86,299,51,7.17,0.593,1.41
Excel + Power BI,SQL,67,369,49,6.89,0.731,1.409
CI/CD,Python,71,334,47,6.61,0.662,1.409
Data Modeling + SQL,Python,71,334,47,6.61,0.662,1.409
Big Data,SQL,130,369,95,13.36,0.731,1.408
Data Analysis + ETL,Python,59,334,39,5.49,0.661,1.407
Data Quality + Python,Reporting,71,299,42,5.91,0.592,1.407
ELT + Python,Reporting,49,299,29,4.08,0.592,1.407
Python + Spark,Machine Learning,61,232,28,3.94,0.459,1.407
Big Data + SQL,Power BI,95,197,37,5.2,0.389,1.406
Azure,Python,97,334,64,9.0,0.66,1.405
ELT + ETL,Reporting,66,299,39,5.49,0.591,1.405
Big Data + Data Warehouse,Reporting,66,299,39,5.49,0.591,1.405
Data Warehouse + Machine Learning,Reporting,44,299,26,3.66,0.591,1.405
Data Modeling + Data Quality,Python,41,334,27,3.8,0.659,1.402
Statistics,Reporting,134,299,79,11.11,0.59,1.402
Big Data + SQL,Reporting,95,299,56,7.88,0.589,1.402
Big Data + Machine Learning,SQL,66,369,48,6.75,0.727,1.401
Azure + SQL,Reporting,56,299,33,4.64,0.589,1.401
Data Lake + ELT,Python,38,334,25,3.52,0.658,1.4
Git + SQL,English,46,276,25,3.52,0.543,1.4
Big Data + Reporting,Python,67,334,44,6.19,0.657,1.398
Data Analysis + Python,Reporting,131,299,77,10.83,0.588,1.398
AI + Docker,English,48,276,26,3.66,0.542,1.395
MySQL,SQL,47,369,34,4.78,0.723,1.394
CI/CD + Python,SQL,47,369,34,4.78,0.723,1.394
Big Data + ETL,Reporting,58,299,34,4.78,0.586,1.394
Data Analysis + Data Engineering,SQL,36,369,26,3.66,0.722,1.392
Kafka,Python,52,334,34,4.78,0.654,1.392
Data Warehouse,Reporting,147,299,86,12.1,0.585,1.391
Data Warehouse + SQL,Python,121,334,79,11.11,0.653,1.39
Data Engineering + Data Warehouse,Python,49,334,32,4.5,0.653,1.39
Data Governance + SQL,Python,49,334,32,4.5,0.653,1.39
AWS + SQL,Machine Learning,75,232,34,4.78,0.453,1.389
Data Lake + ETL,Reporting,48,299,28,3.94,0.583,1.387
Data Warehouse + ETL,Power BI,86,197,33,4.64,0.384,1.385
Data Warehouse + Power BI,Python,60,334,39,5.49,0.65,1.384
ELT,Reporting,67,299,39,5.49,0.582,1.384
Reporting + SQL,Data Analysis,188,320,117,16.46,0.622,1.383
AWS + Python,SQL,88,369,63,8.86,0.716,1.379
Data Analysis + Data Visualization,Python,71,334,46,6.47,0.648,1.379
Data Engineering + Spark,SQL,35,369,25,3.52,0.714,1.376
CI/CD + Git,SQL,35,369,25,3.52,0.714,1.376
ETL,Python,133,334,86,12.1,0.647,1.376
Big Data,Python,130,334,84,11.81,0.646,1.375
Data Analysis + Statistics,Machine Learning,107,232,48,6.75,0.449,1.375
Data Analysis + Machine Learning,Power BI,84,197,32,4.5,0.381,1.375
Data Quality,Reporting,123,299,71,9.99,0.577,1.373
Data Engineering + Reporting,Python,45,334,29,4.08,0.644,1.372
Data Warehouse + Oracle,Python,45,334,29,4.08,0.644,1.372
Data Quality + English,Python,45,334,29,4.08,0.644,1.372
Azure + English,Python,45,334,29,4.08,0.644,1.372
Data Pipeline + Python,English,79,276,42,5.91,0.532,1.37
Python + Reporting,Data Analysis,125,320,77,10.83,0.616,1.369
Business Intelligence + Data Analysis,SQL,41,369,29,4.08,0.707,1.363
AWS + CI/CD,SQL,41,369,29,4.08,0.707,1.363
ETL + Reporting,Python,75,334,48,6.75,0.64,1.362
ETL + SQL,Reporting,110,299,63,8.86,0.573,1.362
Data Pipeline + Python,Machine Learning,79,232,35,4.92,0.443,1.358
PostgreSQL,SQL,71,369,50,7.03,0.704,1.357
ETL,Power BI,133,197,50,7.03,0.376,1.357
Data Engineering,SQL,101,369,71,9.99,0.703,1.355
Data Analysis + Machine Learning,SQL,84,369,59,8.3,0.702,1.353
Statistics,Python,134,334,85,11.95,0.634,1.35
Azure + Reporting,Python,41,334,26,3.66,0.634,1.35
PostgreSQL,Python,71,334,45,6.33,0.634,1.349
Data Lake + Data Warehouse,Reporting,60,299,34,4.78,0.567,1.347
Data Analysis + SQL,Python,185,334,117,16.46,0.632,1.346
Business Intelligence + Reporting,SQL,43,369,30,4.22,0.698,1.344
Oracle,Power BI,86,197,32,4.5,0.372,1.343
ETL,Reporting,133,299,75,10.55,0.564,1.341
CI/CD,Machine Learning,71,232,31,4.36,0.437,1.338
Data Quality + Python,Machine Learning,71,232,31,4.36,0.437,1.338
Docker,English,79,276,41,5.77,0.519,1.337
Python + SQL,Machine Learning,220,232,96,13.5,0.436,1.337
Data Analysis + Statistics,Python,107,334,67,9.42,0.626,1.333
Data Lake + SQL,Python,56,334,35,4.92,0.625,1.33
Git + Python,English,62,276,32,4.5,0.516,1.33
Docker + Python,English,64,276,33,4.64,0.516,1.328
Java + Python,SQL,45,369,31,4.36,0.689,1.327
ETL + Python,Reporting,86,299,48,6.75,0.558,1.327
English + Power BI,Python,61,334,38,5.34,0.623,1.326
ELT + SQL,Reporting,61,299,34,4.78,0.557,1.325
Reporting,Data Analysis,299,320,178,25.04,0.595,1.323
Reporting + SQL Server,Data Analysis,42,320,25,3.52,0.595,1.323
Data Analysis,Reporting,320,299,178,25.04,0.556,1.323
Data Pipeline + SQL,English,74,276,38,5.34,0.514,1.323
Big Data + Data Warehouse,Python,66,334,41,5.77,0.621,1.322
Data Quality + Python,Power BI,71,197,26,3.66,0.366,1.322
Data Analysis + Data Warehouse,Python,71,334,44,6.19,0.62,1.319
Reporting + Statistics,Machine Learning,79,232,34,4.78,0.43,1.319
Data Visualization + Reporting,Python,63,334,39,5.49,0.619,1.318
Reporting + SQL Server,Python,42,334,26,3.66,0.619,1.318
AWS + Data Engineering,SQL,41,369,28,3.94,0.683,1.316
Data Lake + SQL,Reporting,56,299,31,4.36,0.554,1.316
Azure + Machine Learning,English,49,276,25,3.52,0.51,1.314
SQL + Spark,Machine Learning,63,232,27,3.8,0.429,1.313
Data Visualization,Python,86,334,53,7.45,0.616,1.312
Data Warehouse + Reporting,Python,86,334,53,7.45,0.616,1.312
AI + Python,English,112,276,57,8.02,0.509,1.311
Power BI + SQL,Python,156,334,96,13.5,0.615,1.31
Data Engineering + Data Warehouse,Reporting,49,299,27,3.8,0.551,1.31
Business Intelligence,SQL,59,369,40,5.63,0.678,1.306
Git,English,77,276,39,5.49,0.506,1.305
Machine Learning + Statistics,Reporting,62,299,34,4.78,0.548,1.304
Data Pipeline,English,93,276,47,6.61,0.505,1.302
Big Data + Data Warehouse,Machine Learning,66,232,28,3.94,0.424,1.3
Data Governance + Reporting,Python,41,334,25,3.52,0.61,1.298
Data Modeling + Power BI,Python,41,334,25,3.52,0.61,1.298
Java,SQL,52,369,35,4.92,0.673,1.297
Spark,Machine Learning,83,232,35,4.92,0.422,1.292
Data Lake,Reporting,70,299,38,5.34,0.543,1.291
Data Quality + Power BI,Python,43,334,26,3.66,0.605,1.287
Power BI + Tableau,Python,101,334,61,8.58,0.604,1.286
CI/CD + English,SQL,42,369,28,3.94,0.667,1.285
Data Modeling + Reporting,Python,53,334,32,4.5,0.604,1.285
Big Data + ETL,Python,58,334,35,4.92,0.603,1.285
PostgreSQL + SQL,Reporting,50,299,27,3.8,0.54,1.284
Data Pipeline + SQL,Machine Learning,74,232,31,4.36,0.419,1.284
ETL + English,Reporting,52,299,28,3.94,0.538,1.28
AWS + Reporting,Python,45,334,27,3.8,0.6,1.277
English + Python,SQL,142,369,94,13.22,0.662,1.276
Machine Learning + Reporting,SQL,74,369,49,6.89,0.662,1.276
Python,SQL,334,369,220,30.94,0.659,1.269
SQL,Python,369,334,220,30.94,0.596,1.269
Tableau,Python,109,334,65,9.14,0.596,1.269
MySQL,Python,47,334,28,3.94,0.596,1.268
Data Analysis + Reporting,SQL,178,369,117,16.46,0.657,1.267
Data Governance,Reporting,77,299,41,5.77,0.532,1.266
GCP + Python,SQL,67,369,44,6.19,0.657,1.265
Azure + Python,SQL,64,369,42,5.91,0.656,1.264
English + Excel,Reporting,49,299,26,3.66,0.531,1.262
Machine Learning + Reporting,Data Analysis,74,320,42,5.91,0.568,1.261
Big Data + Reporting,Data Analysis,67,320,38,5.34,0.567,1.26
Data Quality + Reporting,Python,71,334,42,5.91,0.592,1.259
AI,English,158,276,77,10.83,0.487,1.255
Data Modeling,Python,85,334,50,7.03,0.588,1.252
Data Pipeline,Machine Learning,93,232,38,5.34,0.409,1.252
PostgreSQL,Machine Learning,71,232,29,4.08,0.408,1.252
SQL Server,Python,63,334,37,5.2,0.587,1.25
CI/CD,SQL,71,369,46,6.47,0.648,1.248
